Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000297288	MAG	1597901	259	7128	41.48	59.82	0.0	0.00	0.00	0.00	11	CAJWIA01	MGYG000297288	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11657;g__UBA11657;s__	ERS7418834	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297288/genomes1/MGYG000297288.gff.gz
MGYG000297289	MAG	1856320	31	166170	41.64	91.75	3.37	0.00	23.35	99.76	20	CAJXCD01	MGYG000297289	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__VXLM01;g__;s__	ERS7419271	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297289/genomes1/MGYG000297289.gff.gz
MGYG000297290	MAG	879687	63	23202	34.82	54.9	0.0	0.00	0.00	0.00	16	CAJXAZ01	MGYG000297290	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SCGC-AAA076-P13;s__	ERS7419125	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297290/genomes1/MGYG000297290.gff.gz
MGYG000297291	MAG	3556579	211	26062	58.16	94.95	4.2	94.96	99.61	99.86	19	CAJVYS01	MGYG000297291	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalomonadales_A;f__SZUA-152;g__DRQN01;s__	ERS7418724	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297291/genomes1/MGYG000297291.gff.gz
MGYG000297292	MAG	3113415	21	311925	42.14	93.17	0.82	0.00	36.20	0.00	18	CAJXOG01	MGYG000297292	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Fodinibius;s__	ERS7418708	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297292/genomes1/MGYG000297292.gff.gz
MGYG000297293	MAG	2441761	63	73238	37.53	98.11	1.62	72.27	58.51	11.21	19	CAJWRM01	MGYG000297293	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__UBA952 sp002480215	ERS7418791	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297293/genomes1/MGYG000297293.gff.gz
MGYG000297294	MAG	2184588	142	28608	40.53	73.93	1.1	94.96	0.00	12.48	18	CAJWFT01	MGYG000297294	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__UBA1611;s__UBA1611 sp002321855	ERS7418523	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297294/genomes1/MGYG000297294.gff.gz
MGYG000297295	MAG	1002130	33	67670	29.27	85.14	0.0	95.80	25.05	10.43	16	CAJWDL01	MGYG000297295	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__AAA240-E13;s__	ERS7418248	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297295/genomes1/MGYG000297295.gff.gz
MGYG000297296	MAG	3507140	26	262426	71.85	99.49	1.81	0.00	0.00	0.00	20	CAJXGN01	MGYG000297296	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces_B;s__	ERS7419653	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297296/genomes1/MGYG000297296.gff.gz
MGYG000297297	MAG	2608336	30	118707	62.75	98.86	1.14	0.00	0.00	8.21	20	CAJWVE01	MGYG000297297	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA854;s__UBA854 sp002364485	ERS7418305	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297297/genomes1/MGYG000297297.gff.gz
MGYG000297298	MAG	2416906	80	46807	37.97	97.84	2.22	72.27	0.00	10.36	19	CAJXDT01	MGYG000297298	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__UBA952 sp002683585	ERS7419277	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297298/genomes1/MGYG000297298.gff.gz
MGYG000297299	MAG	2474233	315	10561	46.18	94.03	2.38	70.59	99.67	99.73	18	CAJVYN01	MGYG000297299	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__B140-G9;s__	ERS7419249	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002972/MGYG000297299/genomes1/MGYG000297299.gff.gz
MGYG000297300	MAG	2493166	71	43829	52.68	86.85	0.8	0.00	21.20	0.00	12	CAJWPS01	MGYG000297300	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002691885	ERS7418516	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297300/genomes1/MGYG000297300.gff.gz
MGYG000297301	MAG	3779811	188	29514	57.0	93.02	2.59	0.00	0.00	0.00	18	CAJXPR01	MGYG000297301	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__Pseudohongiella;s__	ERS7418225	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297301/genomes1/MGYG000297301.gff.gz
MGYG000297302	MAG	1725533	351	5892	60.56	75.92	1.67	0.00	0.00	0.00	12	CAJWGI01	MGYG000297302	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11657;g__;s__	ERS7419033	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297302/genomes1/MGYG000297302.gff.gz
MGYG000297303	MAG	5629967	406	21996	62.69	92.31	4.4	94.96	39.01	99.86	19	CAJWBB01	MGYG000297303	d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp002724215	ERS7418557	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297303/genomes1/MGYG000297303.gff.gz
MGYG000297304	MAG	4390857	131	50591	46.56	93.91	1.74	0.00	0.00	19.59	20	CAJXZJ01	MGYG000297304	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Kiloniella;s__Kiloniella sp002162915	ERS7418617	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297304/genomes1/MGYG000297304.gff.gz
MGYG000297305	MAG	3763381	86	66328	46.34	98.84	1.1	94.12	99.67	99.83	20	CAJVXQ01	MGYG000297305	d__Bacteria;p__KSB1;c__UBA2214;o__JdFR-76;f__BMS3Abin05;g__BMS3Abin05;s__BMS3Abin05 sp002898015	ERS7418997	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297305/genomes1/MGYG000297305.gff.gz
MGYG000297306	MAG	3441544	76	72260	60.5	98.95	0.42	0.00	23.87	0.00	20	CAJXNN01	MGYG000297306	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__	ERS7418215	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297306/genomes1/MGYG000297306.gff.gz
MGYG000297307	MAG	2284513	353	7425	47.62	83.14	3.94	0.00	0.00	0.00	16	CAJWQQ01	MGYG000297307	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__GCA-2712985;s__GCA-2712985 sp002712985	ERS7419009	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297307/genomes1/MGYG000297307.gff.gz
MGYG000297308	MAG	4238632	163	52179	50.87	92.47	4.07	93.28	51.27	7.42	19	CAJWRO01	MGYG000297308	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp012961165	ERS7419382	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297308/genomes1/MGYG000297308.gff.gz
MGYG000297309	MAG	1523957	235	7911	62.57	75.08	2.61	0.00	0.00	0.00	14	CAJWAH01	MGYG000297309	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__RCC307;s__	ERS7418740	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297309/genomes1/MGYG000297309.gff.gz
MGYG000297310	MAG	1514107	105	23843	35.04	93.06	0.27	0.00	0.00	5.57	17	CAJWNL01	MGYG000297310	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_B;s__Prochlorococcus_B marinus_B	ERS7419470	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297310/genomes1/MGYG000297310.gff.gz
MGYG000297311	MAG	1635752	322	5606	43.48	63.79	1.72	0.00	0.00	0.00	10	CAJWTU01	MGYG000297311	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__TMED27;s__TMED27 sp002687495	ERS7418716	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297311/genomes1/MGYG000297311.gff.gz
MGYG000297312	MAG	1244981	137	12689	35.01	63.5	0.0	94.12	34.70	6.12	16	CAJWTA01	MGYG000297312	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TMED108;s__	ERS7418751	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297312/genomes1/MGYG000297312.gff.gz
MGYG000297313	MAG	1743196	22	209021	41.05	97.38	1.03	94.12	99.67	99.79	20	CAJWNB01	MGYG000297313	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__UBA7883;s__UBA7883 sp002500605	ERS7419295	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297313/genomes1/MGYG000297313.gff.gz
MGYG000297314	MAG	1245428	288	4625	60.2	61.25	1.31	0.00	0.00	0.00	7	CAJXAP01	MGYG000297314	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C;s__	ERS7418691	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297314/genomes1/MGYG000297314.gff.gz
MGYG000297315	MAG	2409568	110	41038	30.82	90.02	1.75	94.96	63.41	15.69	19	CAJXKY01	MGYG000297315	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__	ERS7419275	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297315/genomes1/MGYG000297315.gff.gz
MGYG000297316	MAG	4354911	47	179510	40.9	94.28	0.9	88.24	0.00	11.90	17	CAJXMO01	MGYG000297316	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Catenovulum;s__	ERS7418404	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297316/genomes1/MGYG000297316.gff.gz
MGYG000297317	MAG	1760912	111	25815	43.79	83.85	1.65	0.00	0.00	18.77	17	CAJWHG01	MGYG000297317	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA3495;s__UBA3495 sp009392775	ERS7419002	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297317/genomes1/MGYG000297317.gff.gz
MGYG000297318	MAG	1249203	120	16687	35.52	74.26	4.08	0.00	0.00	0.00	7	CAJWIE01	MGYG000297318	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869;s__	ERS7419258	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297318/genomes1/MGYG000297318.gff.gz
MGYG000297319	MAG	741803	39	37949	34.93	63.51	1.15	0.00	21.66	0.00	15	CAJWNO01	MGYG000297319	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__TMED112;g__TMED112;s__	ERS7418472	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297319/genomes1/MGYG000297319.gff.gz
MGYG000297320	MAG	1491121	56	48108	34.81	65.86	2.26	0.00	0.00	0.00	12	CAJWPI01	MGYG000297320	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__;s__	ERS7418324	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297320/genomes1/MGYG000297320.gff.gz
MGYG000297321	MAG	4553077	64	126940	44.7	100	0.31	0.00	21.72	0.00	17	CAJXPJ01	MGYG000297321	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii	ERS7419021	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297321/genomes1/MGYG000297321.gff.gz
MGYG000297322	MAG	1707017	77	77612	29.64	94.62	1.61	0.00	21.72	0.00	19	CAJWFI01	MGYG000297322	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED109;g__GCA-002727615;s__GCA-002727615 sp002715265	ERS7418296	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297322/genomes1/MGYG000297322.gff.gz
MGYG000297323	MAG	868050	55	30087	33.01	69.68	1.2	0.00	19.24	0.00	12	CAJWIJ01	MGYG000297323	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__AG-422-B15;g__CACNXQ01;s__CACNXQ01 sp902624455	ERS7419179	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297323/genomes1/MGYG000297323.gff.gz
MGYG000297324	MAG	1942417	177	19234	68.17	90.97	2.99	0.00	0.00	0.00	16	CAJWFS01	MGYG000297324	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__	ERS7419520	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297324/genomes1/MGYG000297324.gff.gz
MGYG000297325	MAG	2890110	243	20353	39.84	92.8	1.45	93.28	0.00	0.00	19	CAJYAQ01	MGYG000297325	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp003332035	ERS7419080	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297325/genomes1/MGYG000297325.gff.gz
MGYG000297326	MAG	3114464	66	90425	69.65	97.96	1.64	0.00	0.00	0.00	20	CAJWNP01	MGYG000297326	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp900098805	ERS7419031	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297326/genomes1/MGYG000297326.gff.gz
MGYG000297327	MAG	2727155	146	25393	54.55	87.02	2.59	94.12	24.92	11.21	14	CAJXDF01	MGYG000297327	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp008081045	ERS7418596	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297327/genomes1/MGYG000297327.gff.gz
MGYG000297328	MAG	2970088	120	35291	50.44	96.49	0.87	94.96	34.77	16.72	19	CAJVXA01	MGYG000297328	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ascidiaceihabitans;s__	ERS7419412	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297328/genomes1/MGYG000297328.gff.gz
MGYG000297329	MAG	2062442	307	8647	52.48	69.83	0.0	0.00	0.00	0.00	11	CAJXIK01	MGYG000297329	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Bermanella;s__	ERS7419435	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297329/genomes1/MGYG000297329.gff.gz
MGYG000297330	MAG	8016410	570	19325	52.13	95.92	3.04	0.00	0.00	16.79	18	CAJXVR01	MGYG000297330	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__AAA164-E04;g__UBA2970;s__	ERS7419668	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297330/genomes1/MGYG000297330.gff.gz
MGYG000297331	MAG	3390424	56	100536	46.5	98.78	0.91	0.00	0.00	0.00	19	CAJXSR01	MGYG000297331	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	ERS7418950	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297331/genomes1/MGYG000297331.gff.gz
MGYG000297332	MAG	4010911	211	26366	59.3	87.03	3.36	93.28	21.66	11.28	18	CAJWUN01	MGYG000297332	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA796;g__UBA796;s__UBA796 sp002348535	ERS7418891	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297332/genomes1/MGYG000297332.gff.gz
MGYG000297333	MAG	2040857	61	50021	54.36	96.2	0.27	0.00	0.00	33.85	20	CAJYBX01	MGYG000297333	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205	ERS7419122	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297333/genomes1/MGYG000297333.gff.gz
MGYG000297334	MAG	4921911	624	10405	65.29	93.8	2.56	94.96	0.00	7.42	19	CAJXFM01	MGYG000297334	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA8438;g__UBA8438;s__UBA8438 sp002726085	ERS7418847	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297334/genomes1/MGYG000297334.gff.gz
MGYG000297335	MAG	1535051	194	9437	46.96	71.38	3.42	76.47	0.00	0.00	16	CAJWET01	MGYG000297335	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592;s__	ERS7418843	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297335/genomes1/MGYG000297335.gff.gz
MGYG000297336	MAG	2521582	100	46529	64.53	92.63	1.8	94.96	21.72	12.03	19	CAJXYI01	MGYG000297336	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__;s__	ERS7418727	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297336/genomes1/MGYG000297336.gff.gz
MGYG000297337	MAG	1701432	45	53419	35.07	87.01	1.47	0.00	0.00	0.00	12	CAJWBA01	MGYG000297337	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA7428;s__	ERS7418250	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297337/genomes1/MGYG000297337.gff.gz
MGYG000297338	MAG	892882	232	4100	33.31	55.61	1.08	0.00	0.00	0.00	9	CAJWUP01	MGYG000297338	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__;s__	ERS7418275	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297338/genomes1/MGYG000297338.gff.gz
MGYG000297339	MAG	1437142	26	148132	35.16	88.32	0.0	94.12	0.00	12.03	17	CAJWQZ01	MGYG000297339	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA7312;g__UBA7312;s__UBA7312 sp002471645	ERS7419107	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297339/genomes1/MGYG000297339.gff.gz
MGYG000297340	MAG	918626	61	21392	28.53	51.88	0.0	0.00	63.08	0.00	11	CAJXHU01	MGYG000297340	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-121220-bin8;s__	ERS7418639	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297340/genomes1/MGYG000297340.gff.gz
MGYG000297341	MAG	2309948	91	37401	59.82	89.83	0.0	89.08	99.61	99.38	20	CAJXGD01	MGYG000297341	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__DRJF01;g__DRJF01;s__DRJF01 sp011052375	ERS7418882	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297341/genomes1/MGYG000297341.gff.gz
MGYG000297342	MAG	2241702	92	37952	44.94	96.3	0.37	0.00	0.00	0.00	18	CAJWDC01	MGYG000297342	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp002313335	ERS7419365	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297342/genomes1/MGYG000297342.gff.gz
MGYG000297343	MAG	3370157	62	107976	60.97	99.7	1.83	94.96	0.00	5.37	20	CAJWAZ01	MGYG000297343	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Actibacterium_A;s__Actibacterium_A sp002706605	ERS7418294	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297343/genomes1/MGYG000297343.gff.gz
MGYG000297344	MAG	3014514	345	10440	43.59	74.37	4.36	0.00	0.00	0.00	10	CAJWFN01	MGYG000297344	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002457215	ERS7418937	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297344/genomes1/MGYG000297344.gff.gz
MGYG000297345	MAG	2446297	251	15501	41.29	86.09	2.24	0.00	0.00	0.00	15	CAJWPF01	MGYG000297345	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__	ERS7418576	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002973/MGYG000297345/genomes1/MGYG000297345.gff.gz
